,outcome,prediction
1,1,0.990747929
2,1,0.98983264
3,1,0.989415765
4,1,0.989190102
5,1,0.988872707
6,1,0.982439637
7,1,0.98207134
8,1,0.981988013
9,1,0.981303275
10,1,0.980291605
11,1,0.97763741
12,1,0.977368712
13,1,0.976772368
14,1,0.976460159
15,1,0.976199806
16,1,0.974192619
17,1,0.97217381
18,1,0.971685648
19,1,0.971436858
20,1,0.971010268
21,1,0.970855176
22,1,0.970277965
23,1,0.969504774
24,1,0.96926719
25,1,0.968605936
26,1,0.968303502
27,1,0.967922211
28,1,0.967920721
29,1,0.967448413
30,1,0.966090679
31,1,0.964811444
32,1,0.964763939
33,1,0.963837683
34,1,0.962746322
35,1,0.962343216
36,1,0.961041152
37,1,0.961035848
38,1,0.959607124
39,1,0.959351599
40,1,0.957884431
41,1,0.957383335
42,1,0.957143784
43,1,0.956970811
44,1,0.956676483
45,1,0.956518173
46,1,0.955893278
47,1,0.954771399
48,1,0.954288363
49,1,0.953187644
50,1,0.9518224
51,1,0.949861944
52,1,0.947574615
53,1,0.945103049
54,1,0.944492459
55,1,0.941901326
56,1,0.941315234
57,1,0.94054836
58,1,0.937089205
59,1,0.934881032
60,1,0.934491813
61,1,0.934458137
62,1,0.932752728
63,1,0.931391895
64,1,0.929997683
65,1,0.929529846
66,1,0.928019226
67,1,0.927822053
68,1,0.927531302
69,1,0.926806808
70,1,0.926424801
71,1,0.925082028
72,1,0.923515618
73,1,0.923048973
74,1,0.92209214
75,1,0.921884298
76,1,0.921825051
77,1,0.921815753
78,1,0.921813309
79,1,0.921261966
80,1,0.916549683
81,1,0.915574074
82,1,0.91556108
83,1,0.915245175
84,1,0.915214002
85,1,0.915018916
86,1,0.914124608
87,1,0.911025226
88,1,0.909971118
89,1,0.909770012
90,1,0.909660697
91,1,0.909280181
92,1,0.907509863
93,1,0.907370627
94,1,0.906161904
95,1,0.904932618
96,1,0.903830886
97,1,0.902664781
98,1,0.902551889
99,1,0.902285814
100,1,0.901388109
101,1,0.899781585
102,1,0.898564458
103,1,0.898355067
104,1,0.897489846
105,1,0.897219837
106,1,0.89544493
107,1,0.895117104
108,1,0.894760251
109,1,0.894123614
110,1,0.891352654
111,1,0.890027761
112,1,0.889266253
113,1,0.887885928
114,1,0.887748778
115,1,0.885192454
116,1,0.884293616
117,1,0.883856177
118,1,0.883737981
119,1,0.883142352
120,1,0.881213963
121,1,0.878605962
122,1,0.878281951
123,1,0.87784338
124,1,0.876685023
125,1,0.876538277
126,1,0.876297712
127,1,0.87609446
128,1,0.875311315
129,1,0.874363899
130,1,0.874118805
131,1,0.873125017
132,1,0.872554123
133,1,0.872494042
134,1,0.871727526
135,1,0.871018708
136,1,0.870213628
137,1,0.870148003
138,1,0.869376063
139,1,0.868121624
140,1,0.867826223
141,1,0.866805315
142,1,0.865413249
143,1,0.865231931
144,1,0.864068806
145,1,0.863506496
146,1,0.862433434
147,1,0.862121701
148,1,0.862073958
149,1,0.86163646
150,1,0.860629022
151,1,0.859932125
152,1,0.859864652
153,1,0.858248293
154,1,0.857531905
155,1,0.856914997
156,1,0.856468081
157,1,0.854967535
158,1,0.854941905
159,1,0.853800416
160,1,0.853403807
161,1,0.852708817
162,1,0.851993442
163,1,0.850125313
164,1,0.848901093
165,1,0.84871465
166,1,0.848353684
167,1,0.847709715
168,1,0.846262693
169,1,0.845847607
170,1,0.845574081
171,1,0.844964683
172,1,0.844057143
173,1,0.843089759
174,1,0.838331461
175,1,0.834785938
176,1,0.834649503
177,1,0.834065437
178,1,0.833061934
179,1,0.833019316
180,1,0.832746446
181,1,0.830784261
182,1,0.830724359
183,1,0.830362856
184,1,0.830012619
185,1,0.828679979
186,1,0.827996731
187,1,0.826507509
188,1,0.826236308
189,1,0.826188087
190,1,0.825862944
191,1,0.824829459
192,1,0.823329568
193,1,0.82137382
194,1,0.818577409
195,1,0.818058074
196,1,0.81732142
197,1,0.81709373
198,1,0.816198647
199,1,0.815930784
200,1,0.814421296
201,1,0.811147928
202,1,0.810418904
203,1,0.809818923
204,1,0.809179902
205,1,0.808858275
206,1,0.808834195
207,1,0.808214307
208,1,0.807485521
209,1,0.807238698
210,1,0.806583881
211,1,0.806496024
212,1,0.805909395
213,1,0.803911269
214,1,0.803878367
215,1,0.801747918
216,1,0.797243655
217,1,0.797166049
218,1,0.796802163
219,1,0.793951035
220,1,0.791904628
221,1,0.79183048
222,1,0.791455328
223,1,0.791416645
224,1,0.791327357
225,1,0.791171193
226,1,0.786473632
227,1,0.785636902
228,1,0.783582866
229,1,0.781420171
230,1,0.780741036
231,1,0.779261649
232,1,0.779164612
233,1,0.776799202
234,1,0.772883296
235,1,0.77199477
236,1,0.770453334
237,1,0.768417299
238,1,0.767985284
239,1,0.767056763
240,1,0.763577163
241,1,0.762491524
242,1,0.761336327
243,1,0.761224687
244,1,0.760304749
245,1,0.758869767
246,1,0.756871939
247,1,0.756222665
248,1,0.754443824
249,1,0.754180908
250,1,0.751656592
251,1,0.750631452
252,1,0.750320315
253,1,0.75013715
254,1,0.749586523
255,1,0.748681068
256,1,0.748283923
257,1,0.747842133
258,1,0.746239066
259,1,0.745584428
260,1,0.744511783
261,1,0.741649508
262,1,0.741371214
263,1,0.740535617
264,1,0.739998043
265,1,0.739716113
266,1,0.738022029
267,1,0.737196028
268,1,0.733811438
269,1,0.733297169
270,1,0.73258394
271,1,0.73036623
272,1,0.729755998
273,1,0.728108466
274,1,0.726822674
275,1,0.722730577
276,1,0.722031236
277,1,0.719566762
278,1,0.718639195
279,1,0.717139661
280,1,0.717015862
281,1,0.716895759
282,1,0.714839816
283,1,0.713881791
284,1,0.713417709
285,1,0.71241498
286,1,0.708952129
287,1,0.707266569
288,1,0.704817593
289,1,0.703694642
290,1,0.702312469
291,1,0.701677382
292,1,0.699536741
293,1,0.698499978
294,1,0.695383787
295,1,0.694772243
296,1,0.694091737
297,1,0.694052875
298,1,0.694030881
299,1,0.69388628
300,1,0.693179309
301,1,0.692759573
302,1,0.692067444
303,1,0.691390097
304,1,0.691254556
305,1,0.6912269
306,1,0.689045131
307,1,0.688688397
308,1,0.687253654
309,1,0.684087276
310,1,0.683270574
311,1,0.682366729
312,1,0.681594551
313,1,0.680343449
314,1,0.67991209
315,1,0.679805398
316,1,0.679571331
317,1,0.679126561
318,1,0.67867142
319,1,0.677176416
320,1,0.675649464
321,1,0.67383641
322,1,0.66825974
323,1,0.667181611
324,1,0.664346755
325,1,0.66132158
326,1,0.660734475
327,1,0.660005867
328,1,0.659187794
329,1,0.653589368
330,1,0.651609957
331,1,0.647822201
332,1,0.647601724
333,1,0.64669162
334,1,0.640516818
335,1,0.639626026
336,1,0.638984919
337,1,0.636013687
338,1,0.634671986
339,1,0.632493317
340,1,0.63203162
341,1,0.631113708
342,1,0.629978478
343,1,0.629731715
