outcome,prediction
1,0.988018394
1,0.986376703
1,0.981420219
1,0.98058182
1,0.975001991
0,0.952915967
0,0.929477632
1,0.913754582
1,0.908940554
1,0.900041461
0,0.89730072
1,0.87719059
0,0.87193048
1,0.858577669
1,0.857898235
1,0.844648182
0,0.838386297
0,0.837857604
1,0.822572231
1,0.808419287
0,0.788154244
1,0.771540403
0,0.738662541
1,0.73212409
0,0.705605507
0,0.683180749
1,0.675662577
1,0.664319098
1,0.653225064
0,0.617853284
1,0.61697638
1,0.604122937
0,0.602152169
1,0.591369212
1,0.564833462
0,0.558627605
1,0.553079009
1,0.551153779
0,0.531848967
1,0.531670868
0,0.520615816
1,0.515874147
1,0.512347221
0,0.501455247
0,0.487140447
1,0.48609668
0,0.477743745
0,0.474033505
1,0.474001288
0,0.457795769
0,0.454314917
1,0.45358929
1,0.453439742
0,0.453083813
0,0.451954544
1,0.448195517
0,0.445270061
1,0.445011616
0,0.44237572
0,0.438945442
0,0.429960519
0,0.428227991
0,0.427082628
1,0.423783094
0,0.413733572
0,0.40102309
0,0.390304416
0,0.390304416
0,0.386686802
1,0.38201046
1,0.374010772
0,0.371277303
0,0.368209779
1,0.363469899
0,0.362990737
0,0.360237092
1,0.359632075
0,0.356318265
0,0.353638321
0,0.339698821
0,0.337523907
0,0.336126387
1,0.335908711
0,0.327371091
1,0.32672894
0,0.320205152
0,0.320205152
0,0.31903854
0,0.312816411
0,0.309268177
0,0.306060582
1,0.300778687
0,0.297408819
0,0.295138687
1,0.294656694
0,0.292406231
0,0.292333037
0,0.291284978
1,0.291284978
0,0.287716538
0,0.281046152
0,0.278241277
0,0.277840167
1,0.275520235
0,0.274059236
1,0.270224035
0,0.270224035
0,0.270033807
0,0.269975573
0,0.264188379
0,0.264188379
0,0.263881981
0,0.262815058
0,0.259967446
0,0.259209991
0,0.255394548
0,0.254478753
0,0.252968103
1,0.252511919
0,0.251737267
0,0.250207871
0,0.248588026
1,0.242939234
0,0.240355834
0,0.239538997
1,0.237817854
