outcome,prediction
0,0.983175755
1,0.972331226
1,0.932700872
0,0.908685148
1,0.907392442
1,0.907124937
1,0.902431607
0,0.89367497
1,0.883633614
1,0.883387148
1,0.873020411
0,0.861423552
0,0.853181005
0,0.833376825
1,0.828112066
1,0.824686408
0,0.820704341
1,0.81436938
0,0.799918294
1,0.785817921
0,0.773634136
0,0.762296021
0,0.760211706
1,0.755714715
1,0.746003926
0,0.735102057
1,0.716323018
0,0.701933384
0,0.697481692
0,0.694566905
1,0.692541599
0,0.690877736
0,0.685404241
1,0.679691792
0,0.678469181
1,0.667555869
1,0.665535808
0,0.663326442
1,0.656414866
1,0.650304198
1,0.627713621
0,0.614090443
0,0.60740304
1,0.604840696
1,0.603990316
1,0.595486462
0,0.589611471
0,0.58876127
0,0.576749504
1,0.573139787
0,0.559196591
0,0.551869214
0,0.537737489
0,0.5337075
0,0.533463717
0,0.530294359
0,0.520399749
0,0.517022312
0,0.502754092
0,0.496711314
0,0.496365041
0,0.491176128
0,0.488722801
0,0.477325886
0,0.474584728
1,0.472067386
0,0.471555293
0,0.466375411
0,0.463412851
0,0.4589113
0,0.447107285
0,0.446363002
0,0.445410132
1,0.443108916
0,0.434349179
1,0.433670193
0,0.432978183
0,0.430793911
0,0.423309773
1,0.420482963
1,0.410694391
1,0.409946352
0,0.408508122
0,0.404577851
0,0.404463381
0,0.404463381
0,0.401815623
0,0.395899147
1,0.395797223
0,0.394478321
1,0.393899769
0,0.389769286
0,0.385276824
0,0.384442419
0,0.3834185
0,0.380132228
1,0.375742972
0,0.375641942
0,0.37556833
1,0.375305384
1,0.375155598
1,0.373591483
0,0.372685403
1,0.37142387
0,0.370767355
1,0.370349079
0,0.368190467
0,0.367709637
0,0.366354942
0,0.362769842
0,0.357331842
0,0.356631786
1,0.35507831
1,0.354197711
0,0.353507996
0,0.348090082
0,0.346675068
0,0.34486255
0,0.343270898
0,0.341042846
0,0.341042846
0,0.341042846
0,0.339770943
0,0.33666867
0,0.336436003
0,0.332790494
0,0.332521796
0,0.3307181
0,0.3307181
0,0.329571605
0,0.327624351
0,0.326410741
0,0.325993598
0,0.325950444
1,0.325093091
0,0.324262142
0,0.322313339
0,0.322199136
0,0.322199136
0,0.322199136
0,0.322199136
0,0.31795001
0,0.31151849
0,0.309586585
0,0.302356064
1,0.302356064
0,0.302356064
0,0.302356064
1,0.302356064
0,0.302356064
0,0.299260408
0,0.295825601
1,0.295491904
1,0.294144601
0,0.293318748
1,0.290387899
1,0.290346503
0,0.286093891
0,0.285936922
0,0.284760237
0,0.281775922
0,0.280050725
0,0.279488176
0,0.27552256
0,0.274541885
0,0.273710757
1,0.273378044
0,0.273089141
0,0.273089141
0,0.271528661
0,0.270913243
1,0.269171566
0,0.26889509
0,0.268076599
0,0.266640395
0,0.266640395
0,0.266640395
0,0.266640395
1,0.266640395
0,0.264682055
0,0.262569964
0,0.258837551
0,0.25867489
0,0.257091939
0,0.256698519
0,0.254204541
0,0.252162546
1,0.248316064
0,0.248316064
1,0.248253897
0,0.248214528
0,0.24597545
1,0.244337827
0,0.242164999
1,0.240752369
0,0.240415052
0,0.240156472
0,0.239926636
1,0.239641041
1,0.237797931
1,0.237439156
1,0.236989543
0,0.235668272
0,0.235170513
0,0.235170513
0,0.235170513
0,0.233335584
0,0.232294098
0,0.231798381
0,0.231730074
1,0.23067677
0,0.229734436
0,0.228559211
0,0.228339836
0,0.226378143
0,0.224674329
0,0.224161834
0,0.222194448
0,0.221088827
0,0.22032164
0,0.219912067
0,0.219186589
0,0.218660161
1,0.216374502
1,0.216067493
0,0.214974836
0,0.214951456
0,0.214915261
0,0.214379027
1,0.213868394
0,0.213707179
0,0.213703811
0,0.213703811
0,0.213016689
0,0.212620407
0,0.212609544
0,0.212550119
0,0.211971551
0,0.211173177
0,0.209641159
1,0.208116651
1,0.207517996
0,0.207427874
0,0.20551987
0,0.204675749
0,0.204517215
0,0.20449464
0,0.202920809
0,0.20255056
0,0.200524405
0,0.200061515
1,0.198005795
0,0.197894141
0,0.197819129
0,0.197169855
0,0.196291521
1,0.195367575
0,0.194096297
0,0.1936398
0,0.192242756
1,0.191815987
0,0.191815987
0,0.191126764
0,0.190776289
0,0.189737186
0,0.187993333
1,0.18759644
0,0.187475786
1,0.185919553
0,0.185848296
0,0.184675947
0,0.182704732
0,0.181694597
1,0.181256369
0,0.179942131
0,0.179620013
0,0.17939043
0,0.177268967
0,0.176950037
0,0.176252708
0,0.174414203
0,0.17399554
0,0.172741994
0,0.172712997
0,0.172552243
0,0.171076462
0,0.170139328
0,0.167941242
0,0.16680415
0,0.165896937
1,0.165878922
0,0.163779765
1,0.16336894
0,0.162878871
1,0.161643118
0,0.16155529
0,0.161425009
0,0.161160246
0,0.160656214
0,0.160514742
0,0.158573747
0,0.158489883
0,0.158483326
1,0.157342821
0,0.157200441
0,0.156990975
0,0.156506449
0,0.155278206
0,0.15525125
0,0.155188531
0,0.154735014
0,0.153585061
0,0.153560013
0,0.152341589
0,0.151731759
0,0.151487097
0,0.150977716
1,0.150771707
0,0.147838354
0,0.147620097
0,0.14551048
0,0.145452917
0,0.14434953
0,0.143472508
0,0.14346604
0,0.142814592
0,0.141586706
0,0.140493467
0,0.140452728
0,0.13996771
1,0.136543036
0,0.136390895
0,0.135203883
0,0.134669498
0,0.133711323
0,0.133411005
0,0.133411005
0,0.133411005
0,0.132219672
0,0.132173374
1,0.131929368
0,0.130962148
0,0.129667237
0,0.129348531
0,0.129093811
0,0.128107846
1,0.127935141
0,0.127583444
1,0.12728174
0,0.126554057
1,0.126230553
1,0.125873983
0,0.125656098
0,0.125568971
0,0.125378832
0,0.125311673
1,0.125014871
0,0.124989204
0,0.124406643
0,0.124055877
0,0.123808183
0,0.12340983
0,0.122367322
0,0.12120977
0,0.120838724
0,0.120689616
0,0.120284274
1,0.120117478
0,0.120055996
0,0.119621068
0,0.119177744
0,0.118463062
0,0.118265487
1,0.117457785
0,0.117244735
0,0.116615325
0,0.116510898
1,0.11605338
0,0.115515038
0,0.115075134
0,0.114869952
0,0.114679448
0,0.114578165
1,0.113975912
0,0.113837264
0,0.113764934
0,0.1129831
0,0.112733379
0,0.112208858
1,0.111693375
0,0.111517906
0,0.1111781
0,0.110923178
1,0.110378131
0,0.10961441
0,0.109429136
0,0.109406203
0,0.108913898
0,0.108735539
1,0.10762354
0,0.107558988
0,0.106084034
0,0.105225846
0,0.105140239
0,0.104934357
0,0.104800425
0,0.10449896
0,0.1044553
0,0.104259007
0,0.103237301
0,0.10260123
0,0.10221497
0,0.102181189
0,0.101721168
0,0.101294383
0,0.10122817
0,0.100765601
0,0.100651748
0,0.100559369
0,0.100352652
0,0.100126326
0,0.100092731
0,0.100003123
0,0.099865019
0,0.098849267
0,0.098686799
0,0.097965114
0,0.097876243
0,0.09771616
1,0.097371519
0,0.097288258
